releve_id,releve_type,habitat_id,date,location
2973472,923,641,2023-06-09T09:14:31+02:00,"(47.49838440765216, 8.099953864658652)"
2973473,923,532,2023-06-09T08:20:45+02:00,"(47.49830042704875, 8.103053156292548)"
2974638,922,451,2023-06-20T15:57:07+02:00,"(46.67823165134269, 8.251430067824412)"
2974639,922,631,2023-06-20T14:52:44+02:00,"(46.67762839925253, 8.25060077239948)"
2974640,922,222,2023-06-20T12:01:04+02:00,"(46.6003507800793, 8.324221917500468)"
2974641,922,662,2023-06-19T17:34:22+02:00,"(46.68038948563392, 8.153097942216517)"
2974642,922,539,2023-06-19T15:24:29+02:00,"(46.68048211353798, 8.120512040784947)"
2974643,922,222,2023-06-19T12:16:19+02:00,"(46.65962301725236, 8.096011441668479)"
2974644,922,435,2023-06-19T11:41:51+02:00,"(46.65988463443321, 8.096632642929892)"
2974648,922,546,2023-06-20T10:01:28+02:00,"(46.5598483626929, 8.344680631346357)"
2974653,922,544,2023-06-20T09:10:28+02:00,"(46.561112344636996, 8.344213542685067)"
2974654,922,545,2023-06-19T14:36:28+02:00,"(46.677359769323346, 8.111598347499493)"
2974655,922,717,2023-06-19T13:33:54+02:00,"(46.672603993012956, 8.098426287354519)"
2974656,922,454,2023-06-19T10:32:23+02:00,"(46.679295558030425, 8.154705395622527)"
2974657,923,451,2023-06-20T15:54:04+02:00,"(46.67816274840751, 8.251403540034403)"
2974658,923,631,2023-06-20T14:42:04+02:00,"(46.67760638, 8.25063884)"
2974659,923,222,2023-06-20T12:00:15+02:00,"(46.6003558, 8.32421663)"
2974660,923,546,2023-06-20T10:01:16+02:00,"(46.55986543, 8.34465902)"
2974661,923,544,2023-06-20T09:07:21+02:00,"(46.5611386, 8.34418042)"
2974662,923,662,2023-06-19T17:26:32+02:00,"(46.68024029, 8.15275141)"
2974663,923,539,2023-06-19T15:22:12+02:00,"(46.6804381, 8.12056834)"
2974664,923,545,2023-06-19T14:33:55+02:00,"(46.67734908, 8.11159719)"
2974665,923,717,2023-06-19T13:33:19+02:00,"(46.67260899, 8.09843014)"
2974666,923,222,2023-06-19T12:12:35+02:00,"(46.65964431, 8.0960429)"
2974667,923,435,2023-06-19T11:41:01+02:00,"(46.65987772, 8.09662119)"
2974668,923,454,2023-06-19T10:31:01+02:00,"(46.67930836, 8.15472558)"
2974925,922,2121,2023-06-23T16:53:56+02:00,"(47.42919269295864, 8.48935692197425)"
2974926,922,224,2023-06-23T14:29:37+02:00,"(47.43134793599999, 8.497194972849798)"
2974927,922,2211,2023-06-23T10:36:57+02:00,"(47.43147062687614, 8.493665263660434)"
2974928,923,2121,2023-06-23T14:39:50+02:00,"(47.43465684, 8.50021902)"
2974929,923,2121,2023-06-23T17:16:13+02:00,"(47.43037716, 8.48632987)"
2974930,923,224,2023-06-23T11:21:36+02:00,"(47.43147641, 8.49733061)"
2974931,923,2211,2023-06-23T09:08:17+02:00,"(47.431456, 8.4936585)"
2974953,923,241,2023-06-24T14:21:41+02:00,"(47.30394353, 8.79795696)"
2974954,923,114,2023-06-24T13:42:13+02:00,"(47.3040939, 8.79805888)"
2974956,922,241,2023-06-24T15:08:49+02:00,"(47.30398269741247, 8.797931326695016)"
2974957,922,114,2023-06-24T13:46:49+02:00,"(47.30411156413985, 8.798057208488222)"
2975261,922,233,2023-06-28T17:09:01+02:00,"(47.32840824161035, 8.370818836258753)"
2975262,923,233,2023-06-28T16:29:23+02:00,"(47.32962191, 8.36811905)"
2975609,922,423,2023-07-03T00:00:00+02:00,"(45.96214720395309, 8.884998960293245)"
2975610,922,635,2023-07-03T00:00:00+02:00,"(45.96086061869028, 8.875839926227368)"
2975611,922,638,2023-07-03T00:00:00+02:00,"(45.964494624936336, 8.873185931338773)"
2975612,922,632,2023-07-03T00:00:00+02:00,"(45.96614878048524, 8.874719359539458)"
2975614,923,423,2023-07-03T16:34:20+02:00,"(45.96216134506006, 8.884927862762693)"
2975615,923,635,2023-07-03T12:52:29+02:00,"(45.96088059, 8.87581461)"
2975616,923,638,2023-07-03T11:25:37+02:00,"(45.96427748, 8.87317096)"
2975617,923,632,2023-07-03T09:45:12+02:00,"(45.966125811234804, 8.874658116877217)"
2975619,922,721,2023-07-04T09:10:10+02:00,"(46.00353338455671, 8.94598820402229)"
2975620,923,721,2023-07-04T09:10:48+02:00,"(46.00353772657627, 8.946040226156951)"
2975732,923,614,2023-07-04T18:48:29+02:00,"(45.99374639946799, 8.924302224374612)"
2975733,923,2121,2023-07-04T17:32:25+02:00,"(45.994360435838935, 8.926684938046403)"
2975734,923,534,2023-07-04T15:19:08+02:00,"(45.976516781140326, 8.945445699296103)"
2975735,923,3412,2023-07-04T14:08:36+02:00,"(45.978082644048214, 8.947078622708222)"
2975736,923,422,2023-07-04T11:28:10+02:00,"(45.978190396916354, 8.9477383291157)"
2975737,922,614,2023-07-04T18:46:03+02:00,"(45.99382719384113, 8.924302355598984)"
2975738,922,2122,2023-07-04T17:21:22+02:00,"(45.99435922340463, 8.926674578148925)"
2975739,922,534,2023-07-04T15:26:10+02:00,"(45.9764921114521, 8.945420113409378)"
2975740,922,3412,2023-07-04T14:00:42+02:00,"(45.978061658886915, 8.947046684682668)"
2975741,922,422,2023-07-04T12:22:55+02:00,"(45.97811428495912, 8.947758037419378)"
2975872,922,451,2023-07-05T00:00:00+02:00,"(46.06610544858502, 8.934630304184537)"
2975873,922,525,2023-07-05T15:42:47+02:00,"(46.10904595657629, 8.96979503443907)"
2975874,922,622,2023-07-05T00:00:00+02:00,"(46.10821218338343, 8.969442541390896)"
2975875,922,222,2023-07-05T17:04:24+02:00,"(46.10521172497671, 8.966371692339296)"
2975876,922,223,2023-07-05T00:00:00+02:00,"(46.105217965374436, 8.966681259952193)"
2975878,922,639,2023-07-05T12:20:58+02:00,"(46.09726434788258, 8.931516639005947)"
2975881,923,223,2023-07-05T18:10:15+02:00,"(46.105322068001726, 8.965831407649084)"
2975882,923,222,2023-07-05T17:05:36+02:00,"(46.105258252783905, 8.96648371599449)"
2975883,923,622,2023-07-05T16:00:04+02:00,"(46.10840343029328, 8.969372499436565)"
2975884,923,525,2023-07-05T15:18:51+02:00,"(46.10898036424714, 8.969768614580097)"
2975885,923,639,2023-07-05T11:58:56+02:00,"(46.097251687137394, 8.931562205444788)"
2975886,923,451,2023-07-05T09:37:55+02:00,"(46.06612079464494, 8.934606166350253)"
2975961,923,414,2023-07-06T00:00:00+02:00,"(46.48148324, 8.72355633)"
2975962,923,539,2023-07-06T16:16:57+02:00,"(46.47725918, 8.72372154)"
2975963,923,524,2023-07-06T14:30:33+02:00,"(46.48070502, 8.72572197)"
2975965,923,664,2023-07-06T10:30:53+02:00,"(46.48193574, 8.72505544)"
2975968,922,524,2023-07-06T00:00:00+02:00,"(46.480779318463966, 8.725882414064355)"
2975969,922,414,2023-07-06T00:00:00+02:00,"(46.481526393456406, 8.723586589809628)"
2975970,922,539,2023-07-06T17:22:35+02:00,"(46.47723003697608, 8.723673089697359)"
2975971,922,664,2023-07-06T10:33:11+02:00,"(46.481958739357715, 8.725022336874616)"
2976068,923,623,2023-04-29T00:00:00+02:00,"(47.35100397411499, 8.503320879700267)"
2976538,923,612,2023-07-13T13:50:59+02:00,"(47.59339093, 8.60125205)"
2976539,923,634,2023-07-13T18:19:57+02:00,"(47.76179141, 8.61386673)"
