# Growth form by plant species, assigned by family where possible, or manually.
"sp_name","growth_form"
"Chenopodium bonus-henricus L.","Forb"
"Chrysopogon gryllus (L.) Trin.","Graminoid"
"Cicerbita alpina (L.) Wallr.","Forb"
"Circaea lutetiana L.","Forb"
"Cirsium arvense (L.) Scop.","Forb"
"Cirsium oleraceum (L.) Scop.","Forb"
"Cirsium palustre (L.) Scop.","Forb"
"Cirsium spinosissimum (L.) Scop.","Forb"
"Cirsium tuberosum (L.) All.","Forb"
"Cladium mariscus (L.) Pohl","Graminoid"
"Convolvulus arvensis L.","Forb"
"Conyza sumatrensis (Retz.) E. Walker","Forb"
"Crataegus monogyna Jacq.","Woody"
"Crepis aurea (L.) Cass.","Forb"
"Crepis biennis L.","Forb"
"Crepis capillaris Wallr.","Forb"
"Crepis kerneri Rech. f.","Forb"
"Crepis paludosa (L.) Moench","Forb"
"Crepis pyrenaica (L.) Greuter","Forb"
"Cuscuta epithymum (L.) L.","Forb"
"Cyclamen purpurascens Mill.","Forb"
"Cymbalaria muralis G. Gaertn. & al.","Forb"
"Cynosurus cristatus L.","Graminoid"
"Cystopteris alpina (Lam.) Desv.","Forb"
"Dactylis glomerata L.","Graminoid"
"Dactylorhiza lapponica (Hartm.) Soó","Forb"
"Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.","Forb"
"Dactylorhiza majalis (Rchb.) P. F. Hunt & Summerh.","Forb"
"Deschampsia cespitosa (L.) P. Beauv.","Graminoid"
"Dianthus carthusianorum L.","Forb"
"Dianthus carthusianorum subsp. vaginatus (Chaix) Schinz & R. Keller","Forb"
"Dianthus seguieri Vill.","Forb"
"Dianthus sylvestris Wulfen","Forb"
"Diphasiastrum alpinum (L.) Holub","Fern"
"Diplotaxis tenuifolia (L.) DC.","Forb"
"Doronicum clusii (All.) Tausch","Forb"
"Doronicum grandiflorum Lam.","Forb"
"Draba dubia Suter","Forb"
"Draba hoppeana Rchb.","Forb"
"Drosera rotundifolia L.","Forb"
"Dryas octopetala L.","Woody"
"Dryopteris affinis (Lowe) Fraser-Jenk.","Fern"
"Dryopteris carthusiana (Vill.) H. P. Fuchs","Fern"
"Dryopteris dilatata (Hoffm.) A. Gray","Fern"
"Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy","Fern"
"Dryopteris filix-mas (L.) Schott","Fern"
"Duchesnea indica (Andrews) Focke","Forb"
"Eleocharis quinqueflora (Hartmann) O. Schwarz","Graminoid"
"Elymus caninus (L.) L.","Graminoid"
"Elymus hispidus (Opiz) Melderis","Graminoid"
"Elymus repens (L.) Gould","Graminoid"
"Elyna myosuroides (Vill.) Fritsch","Graminoid"
"Empetrum nigrum L.","Woody"
"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher","Forb"
"Epilobium alpestre (Jacq.) Krock.","Forb"
"Epilobium alsinifolium Vill.","Forb"
"Epilobium anagallidifolium Lam.","Forb"
"Epilobium collinum C. C. Gmel.","Forb"
"Epilobium fleischeri Hochst.","Forb"
"Epilobium palustre L.","Forb"
"Epilobium parviflorum Schreb.","Forb"
"Epipactis atrorubens Besser","Forb"
"Epipactis palustris (L.) Crantz","Forb"
"Epipactis rhodanensis Gévaudan & Robatsch","Forb"
"Equisetum arvense L.","Fern"
"Equisetum fluviatile L.","Fern"
"Equisetum palustre L.","Fern"
"Equisetum ramosissimum Desf.","Fern"
"Equisetum sylvaticum L.","Fern"
"Equisetum telmateia Ehrh.","Fern"
"Equisetum variegatum Schleich.","Fern"
"Erica carnea L.","Woody"
"Erigeron acris subsp. politus (Fr.) H. Lindb.","Forb"
"Erigeron alpinus L.","Forb"
"Erigeron uniflorus L.","Forb"
"Eriophorum angustifolium Honck.","Graminoid"
"Eriophorum latifolium Hoppe","Graminoid"
"Eriophorum scheuchzeri Hoppe","Graminoid"
"Eriophorum vaginatum L.","Graminoid"
"Eritrichium nanum (L.) Gaudin","Forb"
"Erucastrum nasturtiifolium (Poir.) O. E. Schulz","Forb"
"Euonymus europaeus L.","Woody"
"Euphorbia amygdaloides L.","Forb"
"Euphorbia cyparissias L.","Forb"
"Euphorbia dulcis L.","Forb"
"Euphorbia seguieriana Neck.","Forb"
"Euphrasia minima Schleich.","Forb"
"Euphrasia rostkoviana subsp. montana (Jord.) Wettst.","Forb"
"Fagus sylvatica L.","Woody"
"Festuca acuminata Gaudin","Graminoid"
"Festuca altissima All.","Graminoid"
"Festuca gigantea (L.) Vill.","Graminoid"
"Festuca ovina aggr.","Graminoid"
"Festuca pratensis Huds. subsp. pratensis","Graminoid"
"Festuca quadriflora Honck.","Graminoid"
"Festuca rubra L.","Graminoid"
"Filipendula ulmaria (L.) Maxim.","Forb"
"Filipendula vulgaris Moench","Forb"
"Fragaria vesca L.","Forb"
"Frangula alnus Mill.","Woody"
"Fraxinus excelsior L.","Woody"
"Fraxinus ornus L.","Woody"
"Fumana procumbens (Dunal) Gren. & Godr.","Woody"
"Galium aparine L.","Forb"
"Galium lucidum All.","Forb"
"Galium mollugo L.","Forb"
"Galium odoratum (L.) Scop.","Forb"
"Galium palustre L.","Forb"
"Galium pumilum Murray","Forb"
"Galium verum L. subsp. verum","Forb"
"Genista tinctoria L.","Woody"
"Gentiana bavarica subsp. subacaulis (Schleich.) G. Mull.","Forb"
"Gentiana brachyphylla Vill.","Forb"
"Gentiana clusii E. P. Perrier & Songeon","Forb"
"Gentiana nivalis L.","Forb"
"Geranium palustre L.","Forb"
"Geranium pyrenaicum Burm. f.","Forb"
"Geranium robertianum L.","Forb"
"Geranium robertianum L. subsp. robertianum","Forb"
"Geranium sanguineum L.","Forb"
"Geranium sylvaticum L.","Forb"
"Geum reptans L.","Forb"
"Geum rivale L.","Forb"
"Geum urbanum L.","Forb"
"Glechoma hederacea L.","Forb"
"Globularia cordifolia L.","Woody"
"Goodyera repens (L.) R. Br.","Forb"
"Gymnadenia odoratissima (L.) Rich.","Forb"
"Gymnocarpium dryopteris (L.) Newman","Forb"
"Gypsophila repens L.","Forb"
"Hedysarum hedysaroides (L.) Schinz & Thell.","Forb"
"Helianthemum apenninum (L.) Mill.","Woody"
"Helianthemum nummularium (L.) Mill.","Woody"
"Helianthemum nummularium (L.) Mill. subsp. nummularium","Woody"
"Helictotrichon pubescens (Huds.) Pilg. subsp. pubescens","Graminoid"
"Helictotrichon versicolor (Vill.) Pilg.","Graminoid"
"Hepatica nobilis Schreb.","Forb"
"Hieracium murorum aggr.","Forb"
"Hieracium prenanthoides aggr.","Forb"
"Hieracium staticifolium All.","Forb"
"Hippocrepis comosa L.","Forb"
"Holcus lanatus L.","Graminoid"
"Homogyne alpina (L.) Cass.","Forb"
"Hordelymus europaeus (L.) Harz","Graminoid"
"Huperzia selago (L.) Schrank & Mart.","Fern"
"Hypericum hirsutum L.","Forb"
"Hypericum montanum L.","Forb"
"Hypericum perforatum L. subsp. perforatum","Forb"
"Ilex aquifolium L.","Woody"
"Impatiens glandulifera Royle","Forb"
"Impatiens parviflora DC.","Forb"
"Inula hirta L.","Forb"
"Inula salicina L.","Forb"
"Juncus acutiflorus Hoffm.","Graminoid"
"Juncus articulatus L.","Graminoid"
"Juncus effusus L.","Graminoid"
"Juncus filiformis L.","Graminoid"
"Juncus inflexus L.","Graminoid"
"Juncus jacquinii L.","Graminoid"
"Juncus triglumis L.","Graminoid"
"Juniperus communis L.","Woody"
"Juniperus communis L. subsp. communis","Woody"
"Juniperus communis subsp. alpina Čelak.","Woody"
